system,intervention,top1,macro_f1,mean_max_conf,delta_top1,consistency
resnet50 + linear head,clean,96.4,96.39,0.91,0.0,100.0
resnet50 + linear head,grayscale,94.6,94.61,0.91,-1.8,95.8
resnet50 + linear head,hue40,94.4,94.42,0.9,-2.0,95.2
vit_b_16 + linear head,clean,97.2,97.21,0.97,0.0,100.0
vit_b_16 + linear head,grayscale,95.4,95.41,0.96,-1.8,98.0
vit_b_16 + linear head,hue40,95.8,95.79,0.96,-1.4,98.2
clip + linear head,clean,96.6,96.6,0.27,0.0,100.0
clip + linear head,grayscale,93.8,93.78,0.25,-2.8,93.0
clip + linear head,hue40,94.8,94.78,0.26,-1.8,95.8
clip zero-shot,clean,97.0,97.01,0.94,0.0,100.0
clip zero-shot,grayscale,93.0,92.97,0.93,-4.0,94.0
clip zero-shot,hue40,95.2,95.18,0.93,-1.8,95.6
