model,condition,cosine_stability,n,floor,normalized
resnet50,grayscale,0.7885,500,0.247,0.7191
resnet50,translation32,0.9337,500,0.247,0.912
resnet50,patch_shuffle,0.7181,500,0.247,0.6256
resnet50,cue_conflict_vs_content,0.25,220,0.247,0.004
resnet50,cue_conflict_vs_style,0.2162,220,0.247,-0.0409
resnet50,random_pair_floor,0.247,500,0.247,0.0
vit_b_16,grayscale,0.7369,500,0.0903,0.7108
vit_b_16,translation32,0.9431,500,0.0903,0.9375
vit_b_16,patch_shuffle,0.6493,500,0.0903,0.6145
vit_b_16,cue_conflict_vs_content,0.2232,220,0.0903,0.1461
vit_b_16,cue_conflict_vs_style,0.0722,220,0.0903,-0.0199
vit_b_16,random_pair_floor,0.0903,500,0.0903,0.0
clip,grayscale,0.9002,500,0.6119,0.7428
clip,translation32,0.9702,500,0.6119,0.9232
clip,patch_shuffle,0.7278,500,0.6119,0.2986
clip,cue_conflict_vs_content,0.6511,220,0.6119,0.101
clip,cue_conflict_vs_style,0.5796,220,0.6119,-0.0832
clip,random_pair_floor,0.6119,500,0.6119,0.0
